Отметка времени,"Попробуйте вспомнить и предположить, с какой именно инфекцией чаще всего встречались вы и ваши одногруппники                       Do you remember what sort of URI's you or your group mates usually fall victim to ?","Вы ходите на учебу, когда больны ОРВИ? Do you go to classes although you’re down with the cold ?","Если на предыдущий вопрос вы ответили ""Да"", расскажите, почему? If you answered yes to the previous question please explain why ",Случались ли у вас в группе или на потоке крупные вспышки ОРВИ? Has it happened before that a huge amount of people were infected at the same time ?,"А лично вас когда-нибудь заражали больные одногруппники, посетившие занятия? Have you been directly infected by a group mate who wasn’t present during class ? ","Как думаете, стоит создать облегченный режим отработок для студентов с инфекционными заболеваниями, выбравших остаться дома до выздоровления? What do you think, would it be reasonable to have a better regime of replacement classes for students who have fallen ill and have chosen to stay home till they feel better?","Последний вопрос: чем вы обычно лечитесь, заболев ОРВИ? How do you normally treat yourself when ill with an URI ?"
07.04.2018 23:52:44,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:52:44,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
07.04.2018 23:53:28,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:53:39,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски",Тяжело будет отрабатывать,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:53:48,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Я сам(а) всех заражаю,"Да, это обеспечит эпидемическую безопасность",Антибиотики
07.04.2018 23:54:56,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность","если мне ""везет"" и температура не выше 38 - симптоматическое лечение, но чаще всего из-за того, что я хожу в университет во время болезни, все усложняется, и уже без антибиотиков нельзя"
07.04.2018 23:55:28,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Лень отрабатывать,Нет,Да,"Да, это обеспечит эпидемическую безопасность","Считаю свой организм достаточно крепким, чтобы deal with it "
07.04.2018 23:55:35,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:55:55,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Без лекарств
07.04.2018 23:56:07,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:56:10,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
07.04.2018 23:56:27,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:56:38,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Оциллококцинум и другие гомеопатические средства
07.04.2018 23:56:45,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Ингавирин/кагоцел/арбидол
07.04.2018 23:57:55,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:59:20,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Нет, я беру справку и остаюсь дома",,Да,Нет,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
07.04.2018 23:59:30,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
07.04.2018 23:59:33,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 0:00:03,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:00:08,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:00:43,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Нет,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 0:01:20,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:01:31,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 0:01:40,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:03:02,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Зависит от инфекции 
08.04.2018 0:03:50,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 0:04:05,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Нет, это будет просто очередной повод прогулять пары",Антибиотики
08.04.2018 0:04:06,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске",Тяжело будет отрабатывать,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:04:09,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Нет, я беру справку и остаюсь дома",,Нет,Да,"Да, это обеспечит эпидемическую безопасность","Антибиотики, боюсь осложнений, которые часто хватала в детстве."
08.04.2018 0:05:17,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:05:33,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Нет, я беру справку и остаюсь дома",,Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:06:11,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 0:06:50,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 0:06:56,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:07:20,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:07:59,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 0:08:34,Прост насморк,"Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Я хорошо себя чувствую ",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 0:08:36,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Нет,"Нет, это будет просто очередной повод прогулять пары",Ингавирин/кагоцел/арбидол
08.04.2018 0:08:41,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Я сам(а) всех заражаю,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:08:48,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:09:03,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 0:09:07,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:09:29,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Недружелюбное отношение некоторых преподавателей к людям пропускающим занятие по разным причинам, в том числе и по болезни и агрессивное отношение, и не желание ничего объяснить в случае непонимания материала ",Нет,Нет,"Нет, это будет просто очередной повод прогулять пары",Симптоматическое лечение
08.04.2018 0:09:37,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски",Тяжело будет отрабатывать,Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:09:40,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Я сам(а) всех заражаю,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:10:14,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 0:10:15,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 0:10:41,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:10:46,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, в маске",Тяжело будет отрабатывать,Да,Нет,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 0:11:43,"Респираторно-синцитиальная инфекция (бронхит, кашель, иногда с мокротой, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:12:14,"Парагрипп (осиплость голоса, грубый сухой кашель, постепенное начало)","Да, без маски",Опасаюсь проблем с зачетом,Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:14:00,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:14:33,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:16:59,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:17:22,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Осельтамивир/тамифлю
08.04.2018 0:18:15,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Нет,Да,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:19:15,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом, Не хочу упускать ценные знания",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:20:51,"Аденовирус (насморк, боль в горле, конъюнктивит, часто увеличены лимфоузлы)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Я сам(а) всех заражаю,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:21:45,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Ингавирин/кагоцел/арбидол
08.04.2018 0:23:44,"Грипп (лихорадка, слабость, головная боль и боли в мышцах, насморка почти нет)","Да, без маски","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Да,Да,"Да, это обеспечит эпидемическую безопасность",Антибиотики
08.04.2018 0:24:07,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Нет, я беру справку и остаюсь дома",,Да,Да,"Да, это обеспечит эпидемическую безопасность",Циклоферон
08.04.2018 0:27:31,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, в маске","Тяжело будет отрабатывать, Опасаюсь проблем с зачетом",Нет,Нет,"Да, это обеспечит эпидемическую безопасность",Симптоматическое лечение
08.04.2018 0:29:12,"Риновирус (сильный насморк, лихорадка и другие симптомы не выражены, начало острое)","Да, без маски",Тяжело будет отрабатывать,Да,Нет,"Да, это обеспечит эпидемическую безопасность",Осельтамивир (иногда Ингавирин) + Симптоматическое лечение
